Date, Time,Minimum_Air_Temp,Current_Air_Temp,Maximum_Air_Temp,Precipitation,Relative_Humidity_Minimum,Relative_Humidity_Maximum,Barometric_Pressure_Minimum,Barometric_Pressure_Maximum
1987-04-05,09:45:00,2,9,12,0,52,91,-99.9,-99.9
1987-04-06,09:25:00,3.5,11,15,0,49,96,-99.9,-99.9
1987-04-07,09:20:00,5,14.5,18,0,49,96,-99.9,-99.9
1987-04-08,09:37:00,9,15.5,20,0,-99.9,-99.9,-99.9,-99.9
1987-04-09,09:06:00,10.5,17.5,21.5,0,68,85,-99.9,-99.9
1987-04-10,09:29:00,7.5,16.5,23,0,43,100,-99.9,-99.9
1987-04-11,09:25:00,9.5,22,22.5,0,47,100,-99.9,-99.9
1987-04-12,09:49:00,15,21.5,26.5,0,60,97,-99.9,-99.9
1987-04-13,09:04:00,7,21.5,30.5,0,62,100,-99.9,-99.9
1987-04-14,09:25:00,15.5,17.5,28.5,0,93,100,-99.9,-99.9
1987-04-15,09:25:00,16,18.5,19.5,4.4,97,100,-99.9,-99.9
1987-04-16,09:39:00,15.5,17.5,20.5,41,58,100,-99.9,-99.9
1987-04-17,09:18:00,10,15,22,1.6,64,100,-99.9,-99.9
1987-04-18,09:39:00,8.5,16.5,19.5,9.2,72,100,-99.9,-99.9
1987-04-19,09:33:00,13,17.5,19.5,7,73,100,-99.9,-99.9
1987-04-20,09:45:00,14,21,23,1.8,68,100,-99.9,-99.9
1987-04-21,09:19:00,13.5,19,24.5,0,73,100,-99.9,-99.9
1987-04-22,09:38:00,14,23.5,24,0,68,100,-99.9,-99.9
1987-04-23,09:22:00,14,19,25,0,94,100,-99.9,-99.9
1987-04-24,09:36:00,17.5,21,29.5,0,55,100,-99.9,-99.9
1987-04-25,09:32:00,12,18.5,27.5,0,67,100,-99.9,-99.9
1987-04-26,09:27:00,9.5,12.5,22,0,68,100,-99.9,-99.9
1987-04-27,09:35:00,8,16,21,0,57,100,-99.9,-99.9
1987-04-28,09:37:00,14.5,18.5,20.5,0.1,59,100,-99.9,-99.9
1987-04-29,09:25:00,9.5,18.5,24.5,0,66,100,-99.9,-99.9
1987-04-30,09:36:00,16,24.5,27.5,0,65,100,-99.9,-99.9
1987-05-01,09:38:00,19.5,26.5,32.5,0,75,100,-99.9,-99.9
1987-05-02,09:36:00,17,24.5,32.5,0,79,100,-99.9,-99.9
1987-05-03,09:36:00,18,23.5,29.5,0,80,100,-99.9,-99.9
1987-05-04,09:30:00,19,21.3,26,0.8,-99.9,-99.9,-99.9,-99.9
1987-05-05,09:05:00,10.5,11.5,26.5,19,-99.9,-99.9,-99.9,-99.9
1987-05-06,-999,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9
1987-05-07,09:37:00,7.5,22,22.5,0,-99.9,-99.9,-99.9,-99.9
1987-05-08,09:29:00,18.5,22,22.5,0,-99.9,-99.9,-99.9,-99.9
1987-05-09,09:17:00,17.5,20,24.5,0,-99.9,-99.9,-99.9,-99.9
1987-05-10,15:15:00,10,23.5,24.5,0,-99.9,-99.9,-99.9,-99.9
1987-05-11,09:32:00,12,23,24,0,67,100,-99.9,-99.9
1987-05-12,09:18:00,17,24,24.5,0,76,100,-99.9,-99.9
1987-05-13,09:34:00,16.5,23.5,25.5,0,84,100,-99.9,-99.9
