DATE,STATION,SAMPLE,SAMTIME,REPLICAT,TSTAGE,STEMP,AIRTEMP,SEDWATER,SSAL,REDOX,COREAREA,COREDIAM,SEDVOL,COREDEPA,COREDEPB,COLLECT,UNIDCAPI,TOTCAPIT,CAPICAPI,HETEFILI,CAPISP01,UNIDCIRR,TOTCIRRA,CAULLESP,THARYXSP,CIRRSP01,UNIDGLYC,TOTGLYCE,GLYCSP01,UNIDGONI,TOTGONIA,GONISP01,UNIDLUMB,TOTLUMBR,LUMBTENU,LUMBSP01,UNIDMAGE,TOTMAGEL,MAGEPHYL,MAGESP01,UNIDNERE,TOTNEREI,NERESUCC,NERESP01,UNIDORBI,TOTORBIN,HAPLROBU,ORBISP01,UNIDPHYL,TOTPHYLL,ETEOHETE,PHYLSP01,UNIDSP01,TOTSPION,SPIONSPA,PARAPINN,POLYDSPI,POLYSPII,PRICIRRI,PRICIRRO,SPIOBOMB,STREBENE,SPIOSP01,SPIOSP02,UNIDSYLL,TOTSYLLI,SYLLSP01,POLYSP01,POLYSP02,POLYSP03,POLYSP04,UNIDPOLY,TOTPOLYC,TOTSPECI,TOTFAMIL,AMPHIPOD,TSHRIMPS,CUMACEAN,ISOPODSA,UNIDCRUS,TOTCRUST,TOTBIVAL,UNIDNEME,OLIGOCHA,SIPUNCUL,SHELGAST,UNIDMISC,TOTMISCE,TOTUNORG,TALLORGA
10/23/1981,BB,20,11:55:00,1,0,19,21,19,35,2,109,12,547,0,5,RPM,0,366.9725,366.9725,0,0,183.4862,183.4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2018,642.2018,0,0,0,0,0,0,642.2018,0,0,0,0,0,0,0,642.2018,0,0,0,0,0,0,0,0,0,91.74312,1926.606,4,5,0,0,0,0,0,0,0,0,458.7156,0,0,0,458.7156,0,2385.321
10/23/1981,BB,20,11:55:00,2,0,19,21,19,35,-99,109,-99,1641,0,15,RPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.55046,181.6514,121.1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.6514,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.945
11/10/1981,BB,21,12:45:00,1,0,19,16,20,35,-99,109,12,547,0,5,RPM,0,1467.89,1376.147,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651.376,0,550.4587,0,0,0,0,0,1100.917,0,0,183.4862,183.4862,0,0,0,0,0,0,3394.495,5,4,91.74312,0,183.4862,91.74312,0,366.9725,642.2018,91.74312,183.4862,91.74312,0,91.74312,458.7156,0,4862.385
11/10/1981,BB,21,12:45:00,2,0,19,16,20,35,-99,109,12,547,0,5,RPM,0,275.2294,183.4862,91.74312,0,0,0,0,0,0,183.4862,183.4862,0,0,0,0,0,91.74312,91.74312,0,0,91.74312,91.74312,0,0,0,0,0,0,183.4862,183.4862,0,0,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917.4312,6,6,0,0,0,0,0,0,3027.523,0,275.2294,0,0,0,275.2294,0,4220.183
11/25/1981,BB,22,13:20:00,1,0,11,9,12,33,3,109,12,547,0,5,RPM,0,183.4862,183.4862,0,0,183.4862,183.4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.9725,0,0,0,0,0,0,0,366.9725,0,0,0,0,0,0,0,0,0,0,733.945,2,3,91.74312,0,0,0,0,91.74312,91.74312,91.74312,183.4862,0,0,0,275.2294,0,1192.661
11/25/1981,BB,22,13:20:00,2,0,11,9,12,33,3,109,12,547,0,5,RPM,0,2201.835,2110.092,91.74312,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,91.74312,183.4862,91.74312,0,0,0,0,0,0,0,0,0,0,275.2294,275.2294,0,0,91.74312,91.74312,0,0,1651.376,0,550.4587,275.2294,0,0,0,0,825.6881,0,0,183.4862,183.4862,0,0,0,0,0,0,4678.899,7,7,91.74312,0,0,0,0,91.74312,550.4587,0,0,0,0,366.9725,366.9725,0,5688.073
12/7/1981,BB,23,11:00:00,1,0,9,-9.9,-9.9,36,-99,109,12,547,0,5,RPM,0,1926.606,1926.606,0,0,275.2294,275.2294,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.2294,275.2294,0,0,0,0,0,0,825.6881,0,0,0,0,0,0,0,825.6881,0,0,275.2294,275.2294,0,0,0,0,0,91.74312,3761.468,3,7,91.74312,0,0,0,0,91.74312,2660.55,0,917.4312,0,0,91.74312,1009.174,0,7522.936
12/7/1981,BB,23,11:00:00,2,0,9,-9.9,-9.9,36,-99,109,12,547,0,5,RPM,0,2568.807,2568.807,0,0,275.2294,275.2294,0,0,0,275.2294,275.2294,0,0,0,0,91.74312,91.74312,0,0,0,0,0,0,0,91.74312,91.74312,0,0,550.4587,550.4587,0,0,0,0,0,0,642.2018,0,458.7156,91.74312,0,91.74312,0,0,0,0,0,183.4862,183.4862,0,0,0,0,0,0,4678.899,7,8,0,0,0,0,0,0,917.4312,91.74312,1467.89,0,0,0,1559.633,0,7155.963
12/21/1981,BB,24,11:14:00,1,0,2,8,3,35,-99,83,10,417,0,5,RPM,0,3012.048,3012.048,0,0,602.4096,602.4096,0,0,0,481.9277,481.9277,0,0,0,0,0,120.4819,120.4819,0,0,0,0,0,0,120.4819,120.4819,0,0,120.4819,120.4819,0,0,0,0,0,0,1686.747,0,1325.301,0,0,0,0,0,361.4458,0,0,361.4458,361.4458,0,0,0,0,0,0,6506.024,7,8,0,0,0,0,0,0,722.8916,0,1084.337,0,0,0,1084.337,0,8313.253
12/21/1981,BB,24,11:14:00,2,0,2,8,3,35,-99,83,10,417,0,5,RPM,0,1204.819,1204.819,0,0,120.4819,120.4819,0,0,0,240.9639,240.9639,0,0,0,0,0,120.4819,120.4819,0,0,0,0,0,0,0,0,0,0,120.4819,120.4819,0,0,0,0,0,0,602.4096,0,602.4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2409.639,4,6,0,0,0,0,0,0,481.9277,0,843.3735,0,0,0,843.3735,0,3734.94
1/20/1981,DD,1,-99,1,0,5,-9.9,-9.9,36,-99,170,-99,850,0,5,RPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.4706,176.4706,0,0,0,58.82353,58.82353,0,0,294.1176,0,0,0,0,0,0,294.1176,0,0,0,117.6471,117.6471,0,0,0,0,0,176.4706,823.5294,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823.5294
1/20/1981,DD,1,-99,2,0,5,-9.9,-9.9,36,-99,170,-99,850,0,5,RPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6471,117.6471,0,0,0,0,0,0,0,176.4706,58.82353,0,0,0,0,0,117.6471,0,0,0,0,0,0,0,0,0,0,117.6471,411.7647,3,3,58.82353,0,0,117.6471,0,176.4706,235.2941,117.6471,0,176.4706,0,58.82353,352.9412,0,1176.471
